"Nation_ID","Nation","State_ID","State","Municipality_ID","Municipality","GINI","Population"
"mex","México",14,"Jalisco",14110,"Unión de Tula",0.3681289851665497,13799
"mex","México",14,"Jalisco",14111,"Valle de Guadalupe",0.344978004693985,6627
"mex","México",14,"Jalisco",14112,"Valle de Juárez",0.4004470109939575,6151
"mex","México",14,"Jalisco",14113,"San Gabriel",0.3357659876346588,16548
"mex","México",14,"Jalisco",14114,"Villa Corona",0.3063429892063141,19063
"mex","México",14,"Jalisco",14115,"Villa Guerrero",0.44245800375938416,5525
"mex","México",14,"Jalisco",14116,"Villa Hidalgo",0.34261101484298706,20088
"mex","México",14,"Jalisco",14117,"Cañadas de Obregón",0.3574959933757782,4388
"mex","México",14,"Jalisco",14118,"Yahualica de González Gallo",0.35406699776649475,22394
"mex","México",14,"Jalisco",14119,"Zacoalco de Torres",0.3468340039253235,30472
"mex","México",14,"Jalisco",14120,"Zapopan",0.37375301122665405,1476491
"mex","México",14,"Jalisco",14121,"Zapotiltic",0.31873801350593567,33713
"mex","México",14,"Jalisco",14122,"Zapotitlán de Vadillo",0.39935898780822754,7466
"mex","México",14,"Jalisco",14123,"Zapotlán del Rey",0.3395020067691803,19279
"mex","México",14,"Jalisco",14124,"Zapotlanejo",0.3440620005130768,64806
"mex","México",14,"Jalisco",14125,"San Ignacio Cerro Gordo",0.3409479856491089,18341
